이름,주행,가격,거주성,품질,디자인,연비,평균점수
기아 EV6,9.6,9.4,9.2,9,9.7,9.1,9.3
랜드로버 디스커버리,9.4,8.4,9.5,8.5,9.4,8.5,9
페라리296 GTS,9.6,7.7,9.7,9.1,9.7,8.4,9
폭스바겐 골프,9.5,8.7,8.7,9,9.4,9.5,9.1
지프 레니게이드,8.3,8.1,7.9,7.8,9.8,6.5,8.1
애스턴마틴 DBX707,10,8,10,7,10,8,8.8
람보르기니 우라칸,10,10,10,10,10,10,10
DS 4,8.8,7.8,8,8.8,10,9.8,8.9
쉐보레 이쿼녹스,9.6,7.7,9.7,9.1,9.7,8.4,9
푸조 2008,9.7,8.8,8.9,9.1,9.8,9.8,9.4
SS모터스 젤라 EV,10,8.8,9.5,9.8,9.8,8.5,9.4
쉐보레 타호,9.5,8.7,9.5,8.6,9.4,7,8.8
코란도 이모션,9.6,9.4,9.2,9,9.7,9.1,9.3
르노 마스터,9.8,9.1,10,10,9.8,10,9.8
페라리 296 GTB,9.5,7.7,9.7,8.8,9.2,9.7,9.1
링컨 코세어,9.7,9.7,9.7,8.9,9.8,7.6,9.2
DS 3 크로스백 E-텐스,9.7,8.1,8.3,9.3,10,8,8.9
아우디 e-트론 GT,9.6,7.4,9,9.2,10,8.4,8.9
아우디 RS e-트론 GT,9.3,9.7,8.8,8.9,9.1,9.9,9.3
쉐보레 콜로라도,10,8.8,9.5,9.8,9.8,8.5,9.4
DS 7 크로스백,9.3,8.8,9.1,9.2,9.6,9.6,9.3
DS 3 크로스백,9.2,9.1,9.6,8.8,9.6,9.8,9.4
롤스로이스 고스트 블랙배지,10,1,10,10,10,1,7
로터스 에미라,9.4,7,9.4,8.8,9,9.2,8.8
레디컬 SR8,9.6,7.7,9.7,9.1,9.7,8.4,9
레디컬 SR10,9.6,8,9.2,9.2,9.4,8.4,9
레디컬 SR1,9.1,7.6,8.3,8.4,9.9,6.4,8.3
맥라렌 아투라,9.9,8.7,9.7,9.4,10,7.4,9.2
시트로엥 C5 에어크로스,9.4,8.7,9.2,8.8,9.5,9.4,9.2
시트로엥 C4 칵투스,8.3,9,7.9,8,9.8,9.9,8.8
시트로엥 C3 에어크로스,9,8.9,9.2,8.3,9.6,9.5,9.1
아우디 S7,9.9,9,9.3,9,10,9.6,9.5
시트로엥 그랜드 C4 스페이스 투어러,9.2,9.1,9.6,8.8,9.6,9.8,9.4
롤스로이스 고스트 EWB,10,1,10,10,10,1,7
롤스로이스 고스트,10,1,10,10,10,9.7,8.5
람보르기니 우라칸 에보 스파이더,10,10,10,10,10,10,10
페라리 로마,8.5,7.5,8.5,8,10,8.5,8.5
페라리 812 GTS,9.8,9.5,9.6,8.9,9.7,7.5,9.2
애스턴마틴 DBX,10,8,10,8,10,8,9
코닉세그 제메라,9.8,8.7,7.8,9.8,6.9,7.8,8.5
애스턴마틴 발할라,8.9,8.4,9.3,8.7,9.8,10,9.2
롤스로이스 컬리넌 블랙배지,9.3,9.5,9.7,8.9,9,7.8,9
맥라렌 GT,8.3,9,7.9,8,9.8,9.9,8.8
동풍소콘 펜곤 ix5,8.1,8.9,8.2,7.7,8.8,6,8
람보르기니 우라칸 에보,10,9.5,10,10,9.8,8.5,9.6
메르세데스-벤츠 스프린터,9,9.9,7,7.8,8.9,9.8,8.7
롤스로이스 컬리넌,9.8,8.5,9.4,7.9,8.9,9.8,9.1
페라리 포르토피노,10,9.6,9.6,10,10,10,9.9
로터스 엘리스 S,9.7,9.5,8.7,8.7,8.9,8.9,9.1
페라리 812 슈퍼패스트,9,8.3,7.9,8.9,9.8,9.7,8.9
