이름,주행,가격,거주성,품질,디자인,연비,평균점수
BMW XM,9.4,8,9.4,9.6,9.7,9.1,9.2
푸조 408,9.1,8.1,9,9.2,9.8,9,9
현대 투싼 하이브리드,9.8,7.6,9.7,9.6,9.5,8.9,9.2
현대 투싼,9.6,9.1,9.7,9.6,9.6,8.4,9.3
토요타 프리우스 플러그인 하이브리드,9.9,7.6,9.2,9.9,9.9,10,9.4
토요타 프리우스,9.9,7.6,9.2,9.9,9.9,10,9.4
기아 카니발 하이브리드,9.7,8.8,9.8,9.7,9.8,9.5,9.6
제네시스 일렉트리파이드 G80,9.9,7.7,8.8,9.7,9.8,9.4,9.2
아우디 RS3 세단,9.5,10,6,10,10,9,9.1
아우디 Q3 스포트백,9.1,8.6,8.9,9.2,9.8,9.6,9.2
아우디 Q3,9.1,8.6,8.9,9.2,9.8,9.6,9.2
볼보 S90 플러그인 하이브리드,9,8,9,9,9,9,8.8
메르세데스-벤츠 GLC 쿠페,9.3,7.7,8.5,8.9,9.6,8.1,8.7
메르세데스-벤츠 GLB클래스,9.5,9.1,9.3,9.1,9.7,8.5,9.2
메르세데스-벤츠 GLA클래스,9.7,8,8.8,9.4,9.6,8.1,8.9
메르세데스-벤츠 CLA클래스,9.6,7.6,8.1,8.7,9.9,8.1,8.7
메르세데스-벤츠 AMG GLB클래스,9.5,9.1,9.3,9.1,9.7,8.5,9.2
렉서스 LS 하이브리드,9.2,7.9,9.1,9.5,9.4,7.6,8.8
렉서스 LS,9.2,7.9,9.1,9.5,9.4,7.6,8.8
제네시스 G80,9.9,8.3,9.6,9.7,9.9,7,9.1
푸조 5008,9.3,8.9,9.1,8.8,9.7,9.7,9.3
현대 포터2,8.3,7.6,7.3,7.6,7.5,6.7,7.5
기아 카니발 하이리무진,9.5,7.3,9.5,8.5,9.8,7.4,8.7
기아 카니발,9.8,8.7,8.5,9.7,8.6,8.4,9
기아 봉고3,8.5,9.7,8.6,8.4,8.9,9,8.9
메르세데스-벤츠 G클래스,9.8,6.7,9,9.6,9.9,5.3,8.4
메르세데스-벤츠 GLS클래스,8.8,7.7,8.5,8.4,7.9,8,8.2
메르세데스-벤츠 GLE 쿠페 플러그인 하이브리드,8.9,9.7,9.1,8.2,8.4,7.9,8.7
메르세데스-벤츠 A클래스 세단,9.3,8.5,8.4,8.7,9.4,8.4,8.8
메르세데스-벤츠 A클래스,9.3,8.5,8.4,8.7,9.4,8.4,8.8
메르세데스-EQ EQE,9.6,7.9,9.5,9.5,9.6,9.6,9.3
메르세데스-벤츠 AMG G클래스,9.8,6.7,9,9.6,9.9,5.3,8.4
메르세데스-벤츠 AMG A클래스 세단,8.4,8.9,8.6,7.5,8.3,9.5,8.5
링컨 노틸러스9.5,9.5,9.1,9.6,8.4,9.8,7.8,9
기아 레이,8,8,9.3,8.8,9.5,8,8.6
랜드로버 레인지로버 이보크,8.7,6.7,8.2,8.2,9.7,6.4,8
기아 K5 하이브리드,9.9,7.1,9.9,9.4,9.9,9.7,9.3
기아 K5,9.5,7.8,9.4,9.3,9.7,8.7,9.1
BMW i7 M70,10,8.5,10,10,9.8,9.8,9.7
BMW i7,10,8.5,10,10,9.8,9.8,9.7
혼다 어코드 하이브리드,9.8,7.2,9.8,9.9,9.7,9.9,9.4
혼다 어코드,9.8,7.2,9.8,9.9,9.7,9.9,9.4
푸조 3008,9.4,9,8.9,8.9,9.8,9.6,9.3
폴스타 2,9.8,9.3,8.1,9.5,9.9,9.3,9.3
페라리 SF90 XX 스트라달레,10,8,8,10,10,8,9
토요타 크라운 크로스오버 하이브리드,10,8.4,9.7,9.8,9.8,9.8,9.6
토요타 라브4 하이브리드,9.5,8.9,9.3,9.5,9,9.5,9.3
토요타 라브4 플러그인 하이브리드,9.5,8.9,9.3,9.5,9,9.5,9.3
KGM 코란도,8.9,9.2,8.8,8.6,8.8,7.4,8.6
볼보 XC90 플러그인 하이브리드,9.9,8.7,10,9.8,9.7,9.8,9.7
볼보 XC90,9.4,9.8,9.6,9.5,9.6,8.4,9.4
볼보 S90,9.3,9.6,9.7,9.5,9.7,8.7,9.4
메르세데스-벤츠 S클래스 플러그인 하이브리드,8.6,8.8,9.5,8.9,9.5,9.9,9.2
메르세데스-벤츠 GLC클래스,9.1,7.4,8.8,9.1,9.6,8.8,8.8
메르세데스-벤츠 C클래스,9.6,7.6,9.2,9.1,9.8,8.3,8.9
렉서스 UX 하이브리드,9.7,8.3,9.7,9.8,9,9.7,9.4
렉서스 UX F 스포츠 하이브리드,9.7,8.3,8.7,9.8,9.8,9.7,9.3
렉서스 NX 하이브리드,9.6,8,9,9.7,9.6,9.8,9.3
렉서스 NX 플러그인 하이브리드,9.6,8,9,9.7,9.6,9.8,9.3
렉서스 NX F 스포츠 플러그인 하이브리드,9.6,8.1,9.1,9.7,9.6,9.8,9.3
렉서스 LC 하이브리드,10,7.5,10,10,10,7,9.1
