이름,가격(최저가),가격(최고가),크기,연료,연비,이미지,주행,가격,거주성,품질,디자인,연비,평균점수
현대 스타리아 캠퍼,7203 ,7401 ,대형 RV,디젤,8.3km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240404_238%2Fauto_17122158996190gx0K_PNG%2F20240404163137_acPagIjX.png,8.9 ,7.5 ,8.7 ,8.2 ,8.8 ,7.0 ,8.2 
현대 스타리아 리무진,5911 ,6323 ,대형 RV,디젤,10km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240404_264%2Fauto_1712215666752iPNHa_PNG%2F20240404162739_67xPi3OU.png,8.9 ,7.5 ,8.7 ,8.2 ,8.8 ,7.0 ,8.2 
메르세데스-벤츠 AMG S클래스 E 퍼포먼스,29900 ,29900 ,대형 세단,"전기,가솔린,하이브리드",7.9km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240408_7%2Fauto_1712542935975G0rzJ_PNG%2F20240408112203_ZbaGALud.png,9.7 ,8.1 ,9.6 ,9.0 ,9.4 ,9.1 ,9.2 
메르세데스-벤츠 AMG GLC클래스,9960 ,9960 ,중형 SUV,가솔린,8.5km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230718_73%2Fauto_1689661184237fA0qt_PNG%2F20230718151932_W2CDYtW8.png,9.1 ,7.4 ,8.8 ,9.1 ,9.6 ,8.8 ,8.8 
랜드로버 레인지로버 플러그인 하이브리드,23470 ,23470 ,대형 SUV,"전기,가솔린,하이브리드",7.6km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240422_178%2Fauto_1713758828457oa5au_PNG%2F20240422130656_0QdfS976.png,8.0 ,6.0 ,5.0 ,8.0 ,7.0 ,9.0 ,7.2 
랜드로버 레인지로버 스포츠 플러그인 하이브리드,18710 ,18710 ,준대형 SUV,"전기,가솔린,하이브리드",7.6km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240422_184%2Fauto_171375992195593zW2_PNG%2F20240422132511_uiqKEIaP.png,9.6 ,7.7 ,9.1 ,8.9 ,9.8 ,8.5 ,8.9 
랜드로버 레인지로버 스포츠,14180 ,28520 ,준대형 SUV,"가솔린,디젤",10.4km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240422_117%2Fauto_1713761193342q3xyI_PNG%2F20240422134626_CwT8YDp9.png,9.0 ,7.7 ,10.0 ,9.0 ,9.8 ,7.7 ,8.9 
랜드로버 레인지로버 벨라 플러그인 하이브리드,11590 ,11590 ,중형 SUV,"전기,가솔린,하이브리드",9.1km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230202_42%2Fauto_1675302423275Vdzzr_PNG%2F20230202104652_xjrwg5T8.png,9.4 ,7.2 ,9.0 ,8.4 ,9.9 ,8.4 ,8.7 
랜드로버 레인지로버 벨라,9890 ,12090 ,중형 SUV,가솔린,8.9km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230202_274%2Fauto_1675302149030dQyTg_PNG%2F20230202104219_0CZFooGZ.png,9.4 ,7.2 ,9.0 ,8.4 ,9.9 ,8.4 ,8.7 
랜드로버 레인지로버 LWB,22390 ,32660 ,대형 SUV,"가솔린,디젤",10.1km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240422_236%2Fauto_17137581696694stXD_PNG%2F20240422125559_EKZLkJzF.png,10.0 ,8.5 ,10.0 ,9.8 ,10.0 ,6.1 ,9.1 
랜드로버 레인지로버,23800 ,23800 ,대형 SUV,가솔린,7.8km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240422_65%2Fauto_1713757566686emv05_PNG%2F20240422124557_tIj8UEuK.png,10.0 ,8.5 ,10.0 ,9.8 ,10.0 ,6.1 ,9.1 
대창모터스 다니고 W,4560 ,4560 ,소형 트럭,전기,3.4km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240403_259%2Fauto_1712133147020QQf0l_PNG%2F20240403173217_UY6UiJrk.png,10.0 ,9.0 ,8.0 ,6.0 ,7.0 ,5.0 ,7.5 
대창모터스 다니고 T,4360 ,4510 ,소형 트럭,전기,3.4km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240403_97%2Fauto_1712133058147fgHxP_PNG%2F20240403173047_enH3F4UL.png,10.0 ,9.0 ,8.0 ,6.0 ,7.0 ,5.0 ,7.5 
대창모터스 다니고 R,4780 ,5780 ,소형 트럭,전기,3.4km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240403_191%2Fauto_1712132761631WKlX5_PNG%2F20240403172549_9mr0vMU5.png,10.0 ,9.0 ,8.0 ,6.0 ,7.0 ,5.0 ,7.5 
대창모터스 다니고 L,4310 ,4310 ,준중형 트럭,전기,3.4km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240403_198%2Fauto_1712132655799Nbtgv_PNG%2F20240403172402_5W4upe8W.png,10.0 ,9.0 ,8.0 ,6.0 ,7.0 ,5.0 ,7.5 
대창모터스 다니고 C,3290 ,3880 ,소형 트럭,전기,3.4km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240403_76%2Fauto_1712132523306LMPt9_PNG%2F20240403172202_K7Lhi9vp.png,10.0 ,9.0 ,8.0 ,6.0 ,7.0 ,5.0 ,7.5 
현대 ST1,5980 ,7195 ,대형 트럭,전기,3.6km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240424_270%2Fauto_1713923249808H0AXO_PNG%2F20240424104719_sDJK4dUS.png,10.0 ,9.0 ,8.0 ,6.0 ,7.0 ,5.0 ,7.5 
기아 K9,5933 ,7870 ,대형 세단,가솔린,9km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240508_2%2Fauto_1715156775854znBAB_PNG%2F20240508172607_nTF5XXzq.png,9.7 ,9.3 ,9.6 ,9.4 ,9.2 ,6.8 ,9.0 
BMW X2,6830 ,6830 ,준중형 SUV,가솔린,10.8km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231011_51%2Fauto_1696998326424qGnRo_PNG%2F20231011132513_CVyYCgH9.png,9.0 ,8.0 ,6.0 ,7.0 ,8.0 ,8.0 ,7.7 
쉐보레 트랙스 크로스오버,2188 ,2880 ,소형 SUV,가솔린,12.7km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240314_77%2Fauto_1710388514584jQQpT_PNG%2F20240314125500_NmLokfQg.png,9.5 ,9.4 ,9.4 ,8.9 ,9.8 ,8.4 ,9.2 
렉서스 ES 하이브리드,6690 ,7160 ,준대형 세단,"가솔린,하이브리드",17.2km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240325_187%2Fauto_1711338737990veylq_PNG%2F20240325125207_gn53nOJv.png,9.6 ,8.9 ,9.6 ,9.7 ,9.6 ,9.8 ,9.5 
렉서스 ES F 스포츠 하이브리드,7410 ,7410 ,준대형 세단,"가솔린,하이브리드",16.8km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240325_211%2Fauto_17113384026694uXcq_PNG%2F20240325124630_UfNPBIWL.png,9.6 ,8.6 ,9.6 ,9.7 ,9.6 ,9.8 ,9.5 
현대 코나 일렉트릭,4352 ,5086 ,소형 SUV,전기,5.5km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240304_58%2Fauto_1709516226693rIcLw_PNG%2F20240304103659_BJ7901Nx.png,10.0 ,8.0 ,9.7 ,9.5 ,9.9 ,9.6 ,9.5 
캐딜락 에스컬레이드,15900 ,16900 ,대형 SUV,가솔린,7km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240328_21%2Fauto_1711608003121ef43H_PNG%2F20240328153921_fmRrYroh.png,9.6 ,8.2 ,8.6 ,8.9 ,9.6 ,5.8 ,8.5 
기아 카니발 하이리무진 하이브리드,6250 ,9650 ,대형 RV,"가솔린,하이브리드",13km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231108_161%2Fauto_1699408439580Q36LQ_PNG%2F20231108105349_n8Qh5CHJ.png,9.7 ,8.8 ,9.8 ,9.7 ,9.8 ,9.5 ,9.6 
현대 아이오닉 5,5240 ,6242 ,준중형 SUV,전기,5.2km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240304_292%2Fauto_1709523829766HeDD9_PNG%2F20240304124342_Lm9tu5xR.png,10.0 ,8.0 ,10.0 ,10.0 ,10.0 ,10.0 ,9.7 
아우디 A5 카브리올레,8290 ,8290 ,중형 컨버터블,가솔린,10.7km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240318_186%2Fauto_1710720716699aiLKp_PNG%2F20240318091133_0J5y1eZn.png,9.7 ,8.6 ,8.0 ,9.3 ,9.9 ,7.7 ,8.9 
현대 스타리아 하이브리드,3433 ,4614 ,대형 RV,"가솔린,하이브리드",13km/ℓ?,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240228_114%2Fauto_1709084039696Aem32_PNG%2F20240228103352_zgHo8Hjv.png,10.0 ,9.0 ,10.0 ,10.0 ,10.0 ,10.0 ,9.8 
현대 스타리아,2637 ,4482 ,대형 RV,"LPG,디젤",12.3km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240228_194%2Fauto_1709084014103OTrQY_PNG%2F20240228103326_w4gB76Mq.png,8.9 ,7.5 ,8.7 ,8.2 ,8.8 ,7.0 ,8.2 
제네시스 GV60,6433 ,7343 ,준중형 SUV,전기,5.1km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240311_113%2Fauto_1710117205725sU76O_PNG%2F20240311093319_Fv1BTT0M.png,9.8 ,7.8 ,9.5 ,9.5 ,9.5 ,9.3 ,9.2 
제네시스 G90 LWB,16720 ,16720 ,대형 세단,가솔린,8.2km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240321_78%2Fauto_171098182481594Mfl_PNG%2F20240321094338_hvjlqLtP.png,9.5 ,8.2 ,9.6 ,9.1 ,9.1 ,8.5 ,9.0 
제네시스 G90,9540 ,13800 ,대형 세단,가솔린,9.3km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240321_104%2Fauto_17109817314495S3iC_PNG%2F20240321094203_24fGoWAB.png,9.5 ,8.5 ,9.6 ,9.1 ,9.1 ,8.5 ,9.1 
BMW 5시리즈 플러그인 하이브리드,8920 ,9220 ,준대형 세단,"전기,가솔린,하이브리드",15.9km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230525_2%2Fauto_1684989177120Rjgat_PNG%2F20230525133243_oa7Al19p.png,9.8 ,8.9 ,8.8 ,9.5 ,9.6 ,8.9 ,9.3 
포드 머스탱 컨버터블,6700 ,8600 ,스포츠카 컨버터블,가솔린,9.6km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240116_168%2Fauto_17053701702442qv0L_PNG%2F20240116105600_9xS4XPiV.png,9.6 ,7.2 ,8.4 ,9.0 ,10.0 ,8.0 ,8.7 
포드 머스탱,5990 ,7990 ,스포츠카 쿠페,가솔린,9.6km/ℓ?,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240116_266%2Fauto_17053698876968T5Pu_PNG%2F20240116105120_3Z7fQN5F.png,9.6 ,7.2 ,8.4 ,9.0 ,10.0 ,8.0 ,8.7 
테슬라 모델Y,5299 ,7199 ,중형 SUV,전기,5.1km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240216_260%2Fauto_1708042633046cqeut_PNG%2F20240216091629_GvxmQwCj.png,9.8 ,8.7 ,9.5 ,8.5 ,9.5 ,9.4 ,9.2 
현대 코나 하이브리드,2959 ,3594 ,소형 SUV,"가솔린,하이브리드",19.8km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240206_157%2Fauto_1707181997576PuycQ_PNG%2F20240206101311_OxZAbw7o.png,9.3 ,6.6 ,9.0 ,9.0 ,9.5 ,9.1 ,8.8 
현대 코나,2446 ,3422 ,소형 SUV,가솔린,13.6km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240206_139%2Fauto_1707181934006TNy1l_PNG%2F20240206101206_ZDfkBanu.png,9.0 ,10.0 ,9.0 ,8.0 ,8.0 ,9.0 ,8.8 
아우디 A7 플러그인 하이브리드,10280 ,10280 ,준대형 세단,"전기,가솔린,하이브리드",15.7km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240205_6%2Fauto_1707114335604G3yrf_PNG%2F20240205152523_BPM88nDJ.png,9.6 ,8.9 ,8.9 ,9.0 ,9.9 ,8.4 ,9.1 
아우디 A7,10570 ,10780 ,준대형 세단,"가솔린,디젤",11.9km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240214_60%2Fauto_1707868754343m6uLy_PNG%2F20240214085906_UEJGurO1.png,9.0 ,9.0 ,9.0 ,9.0 ,9.0 ,8.0 ,8.8 
기아 봉고3 EV,4385 ,4550 ,중형 트럭,전기,3.1km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240201_57%2Fauto_1706750333925l5U54_PNG%2F20240201101843_cM28pAYh.png,6.0 ,8.0 ,9.0 ,7.0 ,5.0 ,9.0 ,7.3 
메르세데스-벤츠 CLE클래스,7270 ,9600 ,준대형 쿠페,가솔린,12.1km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240219_220%2Fauto_1708306521676za0BT_PNG%2F20240219103509_hfMhffik.png,9.4 ,9.3 ,8.7 ,9.4 ,9.9 ,9.3 ,9.3 
메르세데스-벤츠 AMG SL클래스,23800 ,26300 ,스포츠카 컨버터블,가솔린,6.5km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240418_105%2Fauto_171340431560066DC0_PNG%2F20240418103826_DEmHdJXP.png,9.7 ,6.7 ,8.0 ,8.7 ,10.0 ,7.3 ,8.4 
GMC 시에라,9380 ,9550 ,대형 트럭,가솔린,6.6km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240208_51%2Fauto_1707356642933cAFSe_PNG%2F20240208104354_nEiMRw8L.png,9.9 ,9.1 ,9.7 ,9.7 ,9.9 ,9.3 ,9.6 
BMW X4 M,12920 ,12920 ,중형 SUV,가솔린,7.8km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240408_83%2Fauto_1712561890001hmVsn_PNG%2F20240408163800_0iceTWrV.png,9.9 ,8.7 ,8.2 ,9.6 ,9.8 ,4.9 ,8.5 
BMW X3 M,12490 ,12490 ,중형 SUV,가솔린,7.7km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240408_119%2Fauto_17125617588518IGJb_PNG%2F20240408163552_lRgYQWli.png,9.7 ,8.3 ,8.7 ,8.8 ,9.4 ,4.3 ,8.2 
BMW 2시리즈,7470 ,7470 ,준중형 쿠페,가솔린,9.6km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240408_60%2Fauto_1712561706988cryR0_PNG%2F20240408163457_TSS10KOz.png,9.7 ,8.8 ,7.9 ,9.2 ,9.5 ,8.8 ,9.0 
혼다 CR-V,4260 ,4260 ,준중형 SUV,가솔린,12.1km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240508_283%2Fauto_1715135637064GH3Q0_PNG%2F20240508113345_BpohvW5x.png,9.8 ,8.0 ,9.9 ,9.8 ,9.6 ,9.5 ,9.4 
현대 포터2 일렉트릭,4395 ,4554 ,중형 트럭,전기,3.1km/kWh,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240129_12%2Fauto_1706511683672Ly6FB_PNG%2F20240129160111_ILIm4xMw.png,9.1 ,7.9 ,7.8 ,8.2 ,7.8 ,5.6 ,7.7 
포드 레인저 랩터,7990 ,7990 ,준대형 트럭,디젤,9km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240315_262%2Fauto_17104651924804jKdg_PNG%2F20240315101304_cNHDGe16.png,9.2 ,6.4 ,9.0 ,8.3 ,9.8 ,8.8 ,8.6 
포드 레인저,6350 ,6350 ,준대형 트럭,디젤,10.1km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240315_284%2Fauto_17104650951550579Q_PNG%2F20240315101128_mEptn3Gh.png,9.2 ,6.4 ,9.0 ,8.3 ,9.8 ,8.8 ,8.6 
토요타 GR 수프라,7980 ,7980 ,스포츠카 쿠페,가솔린,10.2km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240123_273%2Fauto_17059881835257cvMn_PNG%2F20240123143455_kEMCDaOb.png,10.0 ,10.0 ,8.2 ,9.4 ,10.0 ,8.8 ,9.4 
토요타 GR 86,4170 ,4770 ,스포츠카 쿠페,가솔린,9.5km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240123_272%2Fauto_1705987592102SQJGp_PNG%2F20240123142624_5409iAoI.png,9.6 ,8.0 ,7.1 ,8.8 ,9.2 ,8.1 ,8.5 
지프 랭글러 2도어,7640 ,7640 ,중형 SUV,가솔린,7.6km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230406_100%2Fauto_1680755702136u8dyR_PNG%2F20230406133450_Dulz57DA.png,8.5 ,7.2 ,7.5 ,7.5 ,9.9 ,6.4 ,7.8 
지프 랭글러,6970 ,8390 ,중형 SUV,가솔린,8.2km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240103_8%2Fauto_1704248331339QP8Xj_PNG%2F20240103111842_njLfiPNp.png,8.5 ,7.2 ,7.5 ,7.5 ,9.9 ,6.4 ,7.8 
아우디 SQ7,14800 ,14800 ,준대형 SUV,가솔린,6.7km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240103_175%2Fauto_17042422395540m690_PNG%2F20240103093708_OqWPMy8S.png,9.6 ,9.4 ,9.8 ,9.4 ,9.5 ,8.4 ,9.4 
아우디 RSQ8,18450 ,18450 ,준대형 SUV,가솔린,6.6km/ℓ,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240109_176%2Fauto_1704760652860n5HGp_PNG%2F20240109093725_hB3BXReo.png,9.8 ,9.5 ,9.1 ,8.5 ,8.8 ,7.1 ,8.8 
